ObjectTable,zone_id,zone_id_flag,area,area_flag,max_triangle_area,max_triangle_area_flag,min_mesh_element_area,min_mesh_element_area_flag,mesh_generation,mesh_generation_flag,boundary_array,boundary_type,boundary_type_flag,terrain_sensitive_mesh,terrain_sensitive_mesh_flag,max_height_variation,max_height_variation_flag,subgrid_sampling,subgrid_sampling_flag,subgrid_triangle_area,subgrid_triangle_area_flag,minimum_angle,minimum_angle_flag,roughness,roughness_flag,roughness_definition_id,roughness_definition_id_flag,apply_rainfall_directly,apply_rainfall_directly_flag,apply_rainfall_subcatch,apply_rainfall_subcatch_flag,rainfall_profile,rainfall_profile_flag,infiltration_surface_id,infiltration_surface_id_flag,turbulence_model_id,turbulence_model_id_flag,rainfall_percentage,rainfall_percentage_flag,mesh_summary,mesh_summary_flag,hyperlinks,notes,notes_flag,user_number_1,user_number_1_flag,user_number_2,user_number_2_flag,user_number_3,user_number_3_flag,user_number_4,user_number_4_flag,user_number_5,user_number_5_flag,user_number_6,user_number_6_flag,user_number_7,user_number_7_flag,user_number_8,user_number_8_flag,user_number_9,user_number_9_flag,user_number_10,user_number_10_flag,user_text_1,user_text_1_flag,user_text_2,user_text_2_flag,user_text_3,user_text_3_flag,user_text_4,user_text_4_flag,user_text_5,user_text_5_flag,user_text_6,user_text_6_flag,user_text_7,user_text_7_flag,user_text_8,user_text_8_flag,user_text_9,user_text_9_flag,user_text_10,user_text_10_flag
FieldDescription,ID,,Area,,Maximum triangle area,,Minimum element area,,Mesh generation,,Boundary points,Boundary type,,Terrain-sensitive meshing,,Maximum height variation,,Sub-grid sampling,,Sub-grid triangle area,,Minimum angle,,Roughness (Manning's n),,Roughness definition,,Apply rainfall etc directly to mesh elements,,Apply rainfall etc,,Rainfall profile,,Infiltration surface,,Turbulence model,,Rainfall percentage,,Mesh summary,,Hyperlinks,Notes,,User number 1,,User number 2,,User number 3,,User number 4,,User number 5,,User number 6,,User number 7,,User number 8,,User number 9,,User number 10,,User text 1,,User text 2,,User text 3,,User text 4,,User text 5,,User text 6,,User text 7,,User text 8,,User text 9,,User text 10,
NativeUnits,,,ha,,m2,,m2,,,,m,,,,,m,,,,m2,,degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
